"","logFC","logCPM","F","PValue","FDR"
"ENST00000611116.2",-2.37337438422115,-0.963275025465715,17.8894918517112,0.00171513487969682,0.0137192298355479
"ENST00000390289.2",-0.00846521216997595,0.0168416723404389,0.00035639278315603,0.985515999925441,0.993106514267724
"ENST00000617347.1",-3.80141375263374,0.267562886805899,30.8578804978192,0.000259781417905472,0.00347264565664991
"ENST00000361390.2",0.166882381409189,10.5113375173814,4.72519299635697,0.0701720732917151,0.196049640047495
"ENST00000361453.3",0.0942280786390123,10.5645781293701,2.51523132719237,0.161099406024254,0.341985203869197
"ENST00000361624.2",0.217788991860208,13.306317149988,47.4715724857088,0.000359718242129691,0.00438918583857023
"ENST00000361739.1",0.0704181069967754,11.8399876450521,2.06228896922656,0.198334033017625,0.390699701099551
"ENST00000361851.1",0.0395823334332694,8.60174861565282,0.460685645336285,0.521247932890278,0.703222624175719
"ENST00000361899.2",0.163486053029268,11.3544945862685,25.1606842391144,0.00204381110683565,0.0155067679580164
"ENST00000362079.2",0.204308024001687,11.8926278419089,31.3725596886443,0.00113692639627252,0.0101788297674326
"ENST00000361227.2",0.222221231670122,8.36137610147463,31.8296762779792,0.00109327363197189,0.00993386047225899
"ENST00000361335.1",0.0757257367227303,9.20684527768969,3.39074048361468,0.112420379004591,0.269816183264699
"ENST00000361381.2",0.189664328013356,12.2665119506945,31.4718543689576,0.0011272516450075,0.010124794133548
"ENST00000361567.2",0.289929395935051,11.4227339483606,107.405146989761,3.25404876634085e-05,0.000814584099898946
"ENST00000361681.2",0.38282472414379,9.75964889615447,128.874348878496,1.87229299366683e-05,0.000562922939904402
"ENST00000361789.2",0.384286005334138,10.9545231613058,89.9367315960662,5.54874607013483e-05,0.00116317478516706
"ENST00000614336.4",-0.476143352212705,3.06831426444842,6.74011108009395,0.0388246639023393,0.129088817519326
"ENST00000612640.4",-0.913597276751097,1.21454575709123,4.65803868273889,0.0722595806791536,0.199650113236413
"ENST00000618686.1",1.6150187671091,0.120746088335737,16.2339751071307,0.0048496012893704,0.0288912141053311
"ENST00000612465.1",0.0237153297345892,5.52838569086111,0.12224948432278,0.737907312884515,0.853303946814339
"ENST00000612919.1",0.838689373117173,0.35839517118552,6.06779895264436,0.0465351211931555,0.146526316109082
"ENST00000612848.1",-0.293297300709159,3.53605091108279,6.57909373311869,0.0405316428034637,0.133104272988026
"ENST00000613230.1",0.269216795890514,0.414444233123002,0.185181816517227,0.681427271390552,0.817294108925985
"ENST00000400754.4",-0.0740377958599952,0.782499488281488,0.0416132160099703,0.844861944846387,0.918886449689505
"ENST00000707298.1",0.58874403196376,3.94488999743164,15.9947525482405,0.00633803772784309,0.0351040701029249
"ENST00000707299.1",-0.073149434877344,-0.39528617381114,0.0142680834481088,0.908296536302541,0.953811480613228
"ENST00000707301.1",0.303685769956288,2.47651726412197,0.487485734834182,0.509813418856192,0.694489534748126
"ENST00000672017.1",-0.711324038606011,3.07859396398259,23.6937810966285,0.00239228945278104,0.0174374279844596
"ENST00000672339.1",-1.22230064911928,-0.00427620174242621,1.34518263969252,0.285728565293331,0.492162616339934
"ENST00000672295.1",0.0298727978743801,2.83904440214775,0.0394134075454902,0.848837115124281,0.92118424454245
"ENST00000672064.1",-0.405202980609247,2.10546033880984,3.63748360897045,0.102498040045075,0.253745495498942
"ENST00000673550.1",-0.507210451806953,4.65803533867969,15.7498555080434,0.00657267554043703,0.0360715175695986
"ENST00000672938.1",-0.993625231611188,4.10759443380071,27.3876032125793,0.00163620860167297,0.0132522179211919
"ENST00000672225.1",-2.91401463955422,1.35489864513397,97.4952388563673,3.17751743922776e-05,0.000800022688290637
"ENST00000672190.1",-1.29753562687101,-0.15685626674425,0.808816806815018,0.397538243069898,0.601775490124696
"ENST00000673576.1",0.255839836922418,1.51862704328356,0.540913741377331,0.488462492836057,0.677491724500039
"ENST00000710476.1",-0.00840832392635463,0.281913354792851,0.000306224631778325,0.986583150630375,0.99335119438021
"ENST00000643872.4",0.361285748253114,5.21107825358633,15.5713371493101,0.00675165009203139,0.0367367011608221
"ENST00000628983.2",-0.0617166915225266,0.727445114841684,0.0128041887250741,0.913470008502458,0.956596928284758
"ENST00000673006.3",-0.465238603945197,-0.154760526652398,0.468936978039356,0.517041523388379,0.700051293369538
"ENST00000672883.3",0.452495952647235,-0.457350056941366,0.172400574743339,0.690206398782973,0.823033689671183
"ENST00000711214.1",0.144180168238465,7.72867197473932,21.1126404063845,0.00320714772379234,0.0214681163574274
"ENST00000711204.1",0.62031599173722,3.43177647986865,25.399569231145,0.00199607573140031,0.0152511697747259
"ENST00000711203.1",0.937454541886062,1.31186311042026,11.0995333423623,0.0147485247836678,0.0646240606575635
"ENST00000711201.1",1.07025534470503,-0.0147120035564722,8.47944528364148,0.0232505961728022,0.0896782807413672
"ENST00000711197.1",0.0345454023551483,3.65631980638507,0.110233058069079,0.750562400414478,0.861540347912585
"ENST00000711192.1",-0.760862661161069,-0.0767821688134638,0.997471493161703,0.353541500218263,0.560344126849511
"ENST00000711184.1",0.873671029834668,2.11446976673979,1.63136167317762,0.246343152437681,0.448129108063305
"ENST00000711179.1",-2.85881329452292,1.71131351855993,10.4068316670288,0.0164008662388894,0.0698629817950166
"ENST00000711173.1",0.0722880851762761,2.87450166712149,0.0292724199322949,0.869474600725419,0.932823802190627
"ENST00000711172.1",0.954296575410923,2.90902540896505,1.53286637463061,0.25950668790561,0.463045880934812
"ENST00000711171.1",0.675403922113028,3.09716657964306,1.34263412353257,0.28828134573191,0.494873156604459
"ENST00000711165.1",0.103983882363393,3.99242137941765,0.725569706311318,0.425264505975431,0.625089955718873
"ENST00000711164.1",-0.0749256126750818,1.83560748144306,0.117849295610102,0.742488884718587,0.856358342126264
"ENST00000711161.1",-0.742020965848732,3.06432243292043,13.483236121284,0.00943306033901807,0.0467442110576701
"ENST00000711160.1",0.0624136344836925,6.41466267614119,1.89063366608351,0.215650882343355,0.411455143251972
"ENST00000711158.1",0.139948985492723,3.22699002669297,0.920170798923065,0.37251162383324,0.578555612969291
"ENST00000711154.1",-0.790839373634538,-0.473818540129548,3.8803532355795,0.0883337255645887,0.229060658614297
"ENST00000711132.1",0.150117113572934,3.60582311900479,1.93737347693843,0.210739729366311,0.405593643435559
"ENST00000711186.1",0.137395544524593,0.913736174986808,0.129957372797588,0.730354112681144,0.848850730336513
"ENST00000711185.1",0.227438433943518,1.06105041516708,0.634226367663074,0.454913370246561,0.650456564408179
"ENST00000672066.1",-0.35159927668393,5.28085692576568,40.8845282433085,0.000548495780560779,0.00598323784510719
"ENST00000673544.1",0.756158644453243,-0.660391489869869,0.691138876574758,0.430694467724638,0.62959947247363
"ENST00000672298.1",0.0503223452814152,0.720329701199566,0.026722463529887,0.875325305565068,0.935897741020908
"ENST00000850822.1",0.30592427362311,1.02837460363139,0.67480579151129,0.441541623240628,0.639030242210931
"ENST00000711232.1",-0.101329361194884,0.19107432473828,0.0553212792802761,0.821527296883514,0.904378922086081
"ENST00000711233.1",-0.0473043753821848,3.90581304824119,0.167248412765495,0.696001178516211,0.826641148048164
"ENST00000711260.1",-0.151277782933579,4.95060125344817,5.47277890104555,0.0555446715263009,0.166420913261207
"ENST00000711264.1",0.318460101012299,0.956657003213716,0.254867220037221,0.630956660578341,0.783484780323735
"ENST00000711271.1",0.375999042315483,1.49148280938212,1.49105959568991,0.26572054384105,0.470025905219958
"ENST00000711273.1",0.47691262463563,1.94590071813152,4.85468355189162,0.0674313369715835,0.190616532288885
"ENST00000711277.1",-0.206058217868966,-0.473136388973675,0.0601348791908443,0.813173750699144,0.900159843738122
"ENST00000711284.1",-0.0400453681345092,0.585506508161004,0.0177980928017119,0.898083125203335,0.948191327729072
"ENST00000710353.1",-1.40606805284497,0.00878895560246189,1.7057464048964,0.233635459139628,0.433851986036304
"ENST00000672201.1",0.404019867006646,5.04613121086039,42.271864236269,0.000499520523882605,0.0056108141812037
"ENST00000673369.1",0.184040952338052,2.15803984165892,1.02400027824792,0.348611109640076,0.555724415001959
"ENST00000672991.1",0.150645735682776,1.31242041602899,0.175385561244246,0.68928608785602,0.822347622408585
"ENST00000672633.1",1.66967347403525,-0.597392902766875,4.95328928607079,0.0535667064991365,0.162054395344744
"ENST00000673585.1",0.73299958088636,-0.451970827594584,0.786314805689808,0.403430715063242,0.606740822025986
"ENST00000707384.1",0.174120529692563,0.811427870250381,0.323832041829151,0.589202870813487,0.753094655304081
"ENST00000707385.1",0.0674781559070536,0.836807499852563,0.0462795508637887,0.83653150172104,0.913652075660716
"ENST00000707390.1",0.39263787319249,1.05801281038703,2.13776096204778,0.191986928403455,0.383629130087147
"ENST00000707355.1",0.0320182041976842,3.66823439242658,0.0759549682643042,0.791603397867848,0.887212872389389
"ENST00000707357.1",-0.138964596116084,0.579728434970083,0.137960457141103,0.722649208844815,0.84445979267892
"ENST00000707364.1",-0.157118126988512,1.92761415594641,0.647514846984693,0.450130559244285,0.646066670348877
"ENST00000707369.1",-0.293460893937296,1.90416657396591,0.943816512488654,0.366913768759666,0.573101318695558
"ENST00000707372.1",-0.0506992185300398,5.21157103830851,0.83607325305441,0.393899774339414,0.598636208772436
"ENST00000707376.1",-0.386273119552061,0.95148756644454,0.666144540117556,0.444390880387869,0.641302458976386
